Reference,Qty,Function,Value/Part,Package/Footprint,Population,Notes
U1,1,Field input eFuse,TPS26600PWP,HTSSOP-16 PowerPAD,Required,"4.2-60 V; UVLO=IN; OVP=RTN; MODE=RTN; RTN must not be tied to CORE_GND"
U2,1,External buck,LMR38020SDDAR,DDA-8 PowerPAD,Required,"400 kHz; EXT_5V nominal about 5.22 V"
U3 U5,2,Isolated RS485 + isolated power,ISOW1412DFM,SOIC-20 wide,Required,"VIO=3V3; VDD=BOARD_5V; MODE=VISOOUT for 5-V bus side"
U4 U6,2,RS485 TVS,SM712-02HTG,SOT-23,Required,"Pin 1/2 to A/B; pin 3 to respective isolated ground"
U7,1,VE.Bus isolated DC/DC,Input-range-specific isolated converter,Module/footprint TBD,DNI until VEBUS_VPLUS measured,"Output selected so post-D_VE rail remains within Heltec 4.7-6 V input range; >=3 W target"
D1,1,Field supply TVS,SMBJ33CA,SMB,Required,"33-V bidirectional TVS; final surge validation required"
D2,1,VE.Bus power TVS,Voltage selected with U7,TBD,DNI,"Select after VEBUS_VPLUS measurement"
D_EXT D_VE,2,Low-voltage source OR,PMEG3050EP,SOD128,Required / D_VE with U7,"30 V 5 A low-Vf Schottky candidate"
F1,1,Field input fuse/PTC,1 A class >=60 V,THT/SMD option,Required,"Protection coordination to be verified"
F2,1,VE.Bus power fuse,0.5 A class / select with U7,THT/SMD option,DNI until U7 selected,"Input current depends on VE.Bus voltage/module"
JP_USB_SAFE,1,Carrier power disconnect,2-pin header + shunt,2.54-mm header,Required,"Default CLOSED in field; OPEN BEFORE CONNECTING USB-C"
SJ_MB_TERM,1,Modbus termination enable,Solder jumper,SMD,Required open,"Enables R_MB_TERM"
SJ_MB_BIAS_PU SJ_MB_BIAS_PD,2,Modbus bias enable,Solder jumper,SMD,Required open,"Enable only if gateway supplies bus bias"
SJ_VE_TERM,1,VE.Bus termination enable,Solder jumper,SMD,DNI/open,"Populate only after VE.Bus measurement"
SJ_VE_BIAS_PU SJ_VE_BIAS_PD,2,VE.Bus bias enable,Solder jumper,SMD,DNI/open,"Populate only after VE.Bus measurement"
R_ILIM,1,TPS26600 current limit,11.8 kOhm 1%,0603/0805,Required,"Approximately 1-A overload current limit per TI"
C_DVDT,1,TPS26600 slew-rate capacitor,22 nF,0603/0805,Required,"To U1_RTN, not CORE_GND"
R_RT,1,LMR38020 frequency set,64.9 kOhm 1%,0603,Required,"400 kHz per TI table"
R_FBT,1,LMR38020 feedback top,100 kOhm 1%,0603,Required,"EXT_5V target about 5.22 V with R_FBB=23.7 kOhm"
R_FBB,1,LMR38020 feedback bottom,23.7 kOhm 1%,0603,Required,"Revalidate post-D_EXT minimum voltage under load"
L1,1,Buck inductor,15 uH Isat >=3 A,Shielded power inductor,Required,"Low DCR; final footprint selected with layout"
C_BOOT,1,LMR38020 bootstrap,100 nF >=10 V,0603,Required,"BOOT to SW"
CIN_HF,1,LMR38020 high-frequency input,100 nF 50 V,0603,Required,"At VIN/GND"
CIN,1,LMR38020 input,4.7 uF 50 V,X7R,Required,"At VIN/GND"
COUT1 COUT2 COUT3,3,LMR38020 output,22 uF 10 V X7R,0805/1206,Required,"At EXT_5V/GND"
R_MB_TERM,1,Modbus termination,120 Ohm 1%,0805/1206,Required,"In series with SJ_MB_TERM"
R_MB_PU R_MB_PD,2,Modbus fail-safe bias,680 Ohm 1%,0805,Required,"In series with open bias jumpers"
R_VE_TERM,1,VE.Bus termination,120 Ohm 1%,0805/1206,DNI,"Only after measurement"
R_VE_PU R_VE_PD,2,VE.Bus fail-safe bias,680 Ohm 1%,0805,DNI,"Only after measurement"
R_EN_MB R_EN_VE,2,ISOW1412 EN/FLT pull-up,4.7 kOhm,0603,Required,"To 3V3"
C_VIO_MB C_VIO_VE,2,ISOW1412 VIO decoupling,100 nF,0603,Required,"Close to VIO/GNDIO"
C_VDD10_MB C_VDD10_VE,2,ISOW1412 VDD HF decoupling,10 nF,0603,Required,"Within 1 mm of VDD"
C_VDD1_MB C_VDD1_VE,2,ISOW1412 VDD decoupling,1 uF,0603/0805,Required,"VDD to GND1"
C_VDD10U_MB C_VDD10U_VE,2,ISOW1412 VDD bulk,10 uF,0805/1206,Required,"VDD to GND1"
C_ISO10_MB C_ISO10_VE,2,ISOW1412 isolated HF decoupling,10 nF,0603,Required,"Close to VISOOUT/GND2"
C_ISO1_MB C_ISO1_VE,2,ISOW1412 isolated decoupling,1 uF,0603/0805,Required,"After isolated barrier"
C_ISO10U_MB C_ISO10U_VE,2,ISOW1412 isolated bulk,10 uF,0805/1206,Required,"After isolated barrier"
FB_MB_V FB_MB_G FB_VE_V FB_VE_G,4,ISOW1412 isolation-side filtering,"Ferrite bead / 0-R option",0805,Required,"VISOOUT-VISOIN and GND2-GISOIN; TI permits direct short or ferrite"
STB_IF PD_IF,2,Optional VE.Bus STB/PD isolation,Footprint placeholder,TBD,DNI,"Electrical values selected after actual VE.Bus characterization"
J1,1,Field connector,"V+ V- A B",5.08-mm pluggable terminal,Required,"Phoenix MSTBA 2.5/4-G-5.08 class"
J2,1,VE.Bus connector,RJ45 8P8C,Board edge,Required,"Pin 2 V+; 3 GND; 4 A; 5 B; 6 STB; 7 PD"
