pad,header_pin,signal,rev_a_use
1,J2.1,GND,CORE_GND
2,J2.2,5V,HELTEC_5V
3,J2.3,Ve,
4,J2.4,Ve,
5,J2.5,GPIO44,VEBUS_PD_CTRL
6,J2.6,GPIO43,VEBUS_STB_CTRL
7,J2.7,RST,
8,J2.8,GPIO0,USER_BUTTON
9,J2.9,GPIO36,VEXT_CTRL
10,J2.10,GPIO35,STATUS_LED
11,J2.11,GPIO34,GNSS_POWER_CTRL
12,J2.12,GPIO33,
13,J2.13,GPIO47,VEBUS_RX
14,J2.14,GPIO48,VEBUS_TX
15,J2.15,GPIO26,
16,J2.16,GPIO21,OLED_RST
17,J2.17,GPIO20,USB_DP
18,J2.18,GPIO19,USB_DM
19,J3.1,GND,CORE_GND
20,J3.2,3V3,3V3
21,J3.3,3V3,3V3
22,J3.4,GPIO37,BATTERY_ADC_CTRL
23,J3.5,GPIO46,STRAPPING_UNUSED
24,J3.6,GPIO45,STRAPPING_UNUSED
25,J3.7,GPIO42,GNSS_RST
26,J3.8,GPIO41,GNSS_PPS
27,J3.9,GPIO40,GNSS_WAKE
28,J3.10,GPIO39,GNSS_TX
29,J3.11,GPIO38,GNSS_RX
30,J3.12,GPIO1,BATTERY_ADC
31,J3.13,GPIO2,MODBUS_RX
32,J3.14,GPIO3,STRAPPING_UNUSED
33,J3.15,GPIO4,MODBUS_TX
34,J3.16,GPIO5,MODBUS_DIR
35,J3.17,GPIO6,VEBUS_DIR
36,J3.18,GPIO7,LORA_VFEM_CTRL
